review,sentiment
"During university, our Philosophy professor, Mr.R, played us ""Roger & Me"" in its entirety. This was at a time when the obese misfit was still pretty much unknown; a charlatan-in-the-making, a soon-to-be-household-name who was still busy honing his fact-bending skills and still learning how to manipulate the easily impressed, the pathologically paranoid, the mentally ill, the sexually frustrated, the illiterate, the semi-literate, the clueless, and the laughably gullible among ye.<br /><br />As we finished viewing it, I thought: ""Yeah, it was somewhat entertaining - in a totally daft Bugs Bunny kind of way - but what an ultra-biased, anti-Capitalist propaganda turkey that has no objectivity whatsoever this is; its sole purpose being to take cheap shots at people and ideas which the film's creator has pet-peeves for. This isn't a documentary by any stretch of the imagination."" However, our beloved Marxist professor was absolutely thrilled with R&M, and we ended up not only NOT criticizing any aspects of it, but Mr.R actually spent the remainder of class praising its ""qualities"". Just so we understand each other, the words ""propaganda"", ""viewer manipulation"", ""left-wing Extremist"", or ""selective fact presentation"" never exited his perpetually smiling mouth... And just to remind you: this was supposed to be a philosophy class, not INDOCTRINATE YOUR STUDENTS WITH YOUR OWN POLITICAL B.S. course.<br /><br />Anyway, now I get to the really interesting aspect: this professor, Mr.R, is now a highly successful screenwriter in Hollywood. He has written several left-wing scripts with A-grade stars in them.<br /><br />The moral of the story: those are the kind of people for whom all doors are open in Hollywood.<br /><br />Michael Moore is a talentless filmmaker (which he proved beyond a smidgen of a doubt with ""Canadian Bacon""), but being a Marxist liberal opens doors to just about anyone. Tinseltown is teeming with rabid pro-Chavez extremists, hence why political brainwashing through simplistic portrayals of reality has been part-and-parcel of the Hollywood experience for many decades now.<br /><br />Embrace this demagogue and you've betrayed your own brain forever.",0
"Shot in the Heart is wonderful. It brilliantly illustrates the plight of Gary Gimore, a convicted murder who requested death. Shot in the Heart shows the ordeal that Gilmore's family, torn up by hatred, went through. This movie is an incredible psychological study, and is wonderfully depressing and uplifting. 10/10",1
"This movie surprised me in a good way. From the box I got the impression that it was an action thriller but it was too funny to be a thriller, even though it was somewhat exciting.<br /><br />There's a lot of nice one-liners and funny situations in this movie and James Belushi was born to do Bill Manucci, he does a great job. The rest of the cast ain't half-bad either and especially Timothy Dalton is a treat.<br /><br />The story can get pretty confusing at times as new characters shows up during the film. Things get more complicated as nobody seldom tells the truth about things. If you don't pay attention things might get a bit messy in the end but I really liked it.<br /><br />Louis Morneau isn't all that well known but he has done a perfectly OK job with this one and I never really grew impatient while watching the movie.<br /><br />Made men is well worth checking out.",1
"*THIS REVIEW MAY CONTAIN SPOILERS... OR MAYBE NOT. THE WARNING IS THE SAME FOR ALL*<br /><br />Dang it. Just when I thought that SCIFI Channel had used all of its ridiculous ideas for movies, they give us THIS. Actually, the plot itself it's nothing we haven't seen in movies like Snakes On A Plane, Deep Blue Sea, etc... That means, a monster/animal/menace of some kind is lurking in a close environment threatening a bunch of people. In this case, an alien in a train. Wow.<br /><br />I must say that, when I first saw this thing on cable, I couldn't stop laughing. No SCIFI film had prepared me for this; it was so incredibly pathetic I couldn't believe it! The actors are all a bunch of stereotypical-genre characters. But since they're not so famous (to say the least), I wasn't expecting much of them. Except Diamond Phillips. No comments there, but I think the guy was desperate to find a job. The problem was something called 'special effects', horrible even for SCIFI Channel standards. That model/toy they made us believe it was a real train (not to mention the model/toy helicopter, bigger than a train's wagon), the meteor coming HORIZONTALLY from space, the 'baby' alien (a sock puppet, and I ain't kiddin'), the regular aliens who looked pretty ugly... while they were static; when they started ""moving"", it was awful, the explosions (the terrorist blew up LITERALLY! And what about the exploding helicopter! Just how many barrels of gas was that thing carrying?), the insane mathematics used (they couldn't even solve a school problem right!)... And I won't talk about that doomsday-like ending, by that time I didn't know if to keep laughing or to start crying. If I remember right, I did both.<br /><br />It's an ideal movie to have a good laugh, alone or with friends. But be warned; it's so ridiculous at SO MANY levels... and you need a heck of a lot of suspension of disbelief...",0
"I saw the premier of this movie during the 2005 Phoenix Film Festival and was very impressed with the skill Director, Jeff Hare, exhibited in bringing this timely topic to the screen. The cast of characters meshed perfectly and allowed us to examine the issue of a senior wishing to die on ""his own terms"" in a very warm and humorous way. Peter Falk was brilliant as Morris and the supporting group of family members and friends were perfectly cast in their roles. The interaction of the family, friends and outsiders with Morris created a realistic view of how families address the issue of their parents aging and their wishes to die with dignity.<br /><br />Although this movie is ostensibly a movie about a Jewish Actor and his family, it is truly a movie about all families. The jokes the family and Morris crack during this romp through the life of a ""Force of Nature"" are fresh and realistic. Childhood rivalries, adult successes and failures, and hope for the children are integral to this screenplay. While many will question how you can make the topic of suicide ""humorous"", I thought the treatment logical and timely. If you are not afraid to shed a few tears or laugh at the quips of a family struggling with this issue, then you MUST SEE THIS MOVIE.<br /><br />The movie was awarded ""Best Picture"" at the Phoenix Film Festival.",1
"Something to Sing About was produced at Grand National Studios where James Cagney was working while under a contract dispute with the brothers Warner. He did two films for this B studio, neither of which rank high in the Cagney credits.<br /><br />One of the great losses to cinema is the fact that Jimmy Cagney did so few films that utilized his terrific dancing abilities. The two that come to mind immediately are Yankee Doodle Dandy and Footlight Parade. Two lesser films are The West Point Story and Never Steal Anything Small. Cagney himself said he never used to watch anything but his musicals in retirement. So why did he make so few of them?<br /><br />Well this one was all wrong. The plot of Something to Sing About concerns a hoofer who fronts for a band who's discovered and given a movie contract. There are the usual complications of a conniving studio boss and a conniving press agent played respectively and well by Gene Lockhart and William Frawley. His contract calls for a no- marriage clause, so Cagney and band girl singer lady Evelyn Daw marry in secret. Then we get the complication of a publicity driven studio romance with screen leading lady Mona Barrie. I think you can figure where this is going.<br /><br />The most disappointing thing about Something to Sing About is the lack of dance numbers for Cagney. He dances briefly at the beginning and the end of the film and nothing in the middle. Evelyn Daw had a nice singing voice and the charisma of a ham sandwich. She got the musical numbers such as they were. I'm sure the movie-going public was paying their tickets to see Cagney dance. <br /><br />Also in addition to giving him some dance numbers a female dance partner would have been nice. He danced well with Ruby Keeler in Footlight Parade and with Virginia Mayo and Doris Day in The West Point Story. Weren't Ginger Rogers, Eleanor Powell or Ruby Keeler available?<br /><br />No memorable songs came out of this. And Daw's voice is waisted as well. She has a Jeanette MacDonald soprano voice which was so out of place with a swing band.<br /><br />No wonder Cagney went running back to Warner Brothers. But they should have given him some decent musicals.",0
"This was a movie of which I kept on reading the reviews again and again; and despite it being played at Film Museum and not at Pathe theatres  I decided to give this movie a try. The reasons were many  in the reviews it was compared with Pulp Fiction, it had several parallel stories running in the movie and lastly it had already won 17 awards internationally in various categories. I was eager to see this movie and due to my off day at Greenpeace I decided to make myself happy by going and seeing this movie.<br /><br />It is a story based in Finland. I think it reflected the current life of people in general  drugs, crime, sex, anger, anguish, fear and guilt. Every emotion was captured brilliantly in the movie. There are several characters and stories interwoven but a few characters come back in the latter half  making a link with the beginning sequences and that takes the story forward.<br /><br />The story is about two friends  one of whom is computer geek and the other is a drug addict  son of an abusive father. The drug addict boy trades a Euro 500 note  printed by his friend  to buy back his music system, and in returns gets huge change of cash back to buy more drugs. The trading of Euro 500 note continues to bizarre events  from the shop trader to an auto mechanic cum robber  to a car dealer  to a vacuum cleaner salesman  to a prostitute  to a police officer  then to her family and children. How the beginning of a small thing  creates a chain reaction that lead even after 5 years of that first incident to a depressing last note  which I won't reveal here.<br /><br />The direction is excellent. The character development in the movie is first rate. The character that sticks on your mind even after you come out of the movie is of the vacuum cleaner sales person. All the departments of the movie are handled nicely. Here I would like to make a couple of critical comments. First, during the sequence of one event leading to another I felt that the coincidences were too rapid and forced. But this screenplay writing error is pardon when one sees the whole canvas. Second, the trail of one character leading to another somehow leads back to the first two characters and that again I found to be a forced decision by the screen play writer. There was no need to have the same characters showing up again when there are different causes leading to different effects in such a big city.<br /><br />But after saying that  it is an excellent movie! It is a dark movie with quite a few sex scenes. The characters are having the black, white and gray shades and emotions that change from facing different situation which is brilliantly captured by the director.<br /><br />A top rate movie! It has all the ingredients of becoming a cult movie. I hope that only such movies should not become and achieve the status of cult movies and win lots of awards, because without crime, sex, violence, drugs etc. too one can make fantastic movies  Bicycle Thieves and Pather Panchali are its prime examples  only thing is that they were a long time back and times are changing and I think movies are reflecting the current times.",1
"""Mr. and Mrs. Smith"" is one of the not too well known early American Hitchcock's movie. But if ""Lifeboat"" (wich unfortunately also belongs to this category) is an underrated masterpiece, not all the movies signed by the master of suspense in that time (the early 40's) are really worth seeing. And to tell the truth, not discovering this film isn't really a lost.<br /><br />""Mr. and Mrs. Smith"" is an average and conventional screwball comedy, where it's rather hard to find the Hitchcock's touch. Maybe you can catch a glimpse of his shadow (wich isn't much) in the cruelty that Carole Lombard is sometime capable of (but it's well hidden in an impersonal package), in a vertigo scene where two of the characters are trapped on top of a trade fair attraction, and maybe in the character of the mother. And that's about it ! Even for the Hitchcock fan, there is little to connect with.<br /><br />And for the screwball comedies amateur, there isn't very much more: none of the situation are exaggerated enough for being really funny, and we're far from the masterpieces of Hawks for instance. And if one or two scene are quite amusing, there're not even the funniest in Hitchcock's filmography, who created comical situations in almost all his movies (even ""Psycho"" could be considered full of very dark humor). So, there is really little to save in this movie, that can without annoying anyone (or maybe only both hardcore fans of Hitchcock and screwball comedy, who are in love with Carole Lombard), stays one of the not too well known early American Hitchcock's movie.",0
"If anybody really wants to understand Hitler, read WWI history not WWII history. Find out what happened during that war, how soldiers had to live around dead corpses all the time. How so many soldiers went insane, from what they saw during WWI, at the time they called it ""shellshocked"" now the call it post-traumatic stress disorder. If you learn the true horrors of WWI, you will begin to understand Hitler. You will understand how a human being can become desensitized to death, not because their evil but simply because it was the only way for them too cope with the horrors around them.<br /><br />This movie unfortunately misses that, as so many others do. Read some books on the subject and you should watch the movie ""paths of glory"", the only good WWI movie ever made. You will see the frustration of the soldiers in that movie, the sense of helplessness, and a utter devaluation of human life, as nothing more than bullet catchers.<br /><br />Thats what this movie misses, its really the key point to understanding Germany. A lost war, where millions and millions of Germans lost their lives, for no real reason. Then comes an utter economic collapse, following the war. Those are the factors that create extremism.<br /><br />The loss of family members and massive poverty will create always lead to extremism. Unfortunately this movie ignored these factors, and has just become another throw away piece of crap to throw on the pile. With really no real value, there are fictional movie's based upon fictional characters that could give you a better idea of Hitler than this does. They just threw Hitlers name on this so it would sell more.",0
"After Chicago, I was beginning to lose all respect for Richard Gere and then along came The Flock. There's just so far a nice smile and a couple of stock facial gestures can get you, but he proved to me that he's finally gotten hold of his craft and can act with the best of them. Clare Danes was also super as his ""trainee/replacement"". Some have suggested there was too much unnecessary violence, but I don't see it that way. Nothing I saw detracted from the power of this film. I was really shocked I hadn't heard of it being released in theaters and came across it at Blockbuster instead. Really an exceptional film with just the right blend of action, suspense, thrills, and social consciousness. As good as 7even? Well, maybe. And you'll see better acting out of Gere than anyone's ever gotten out of Pitt.",1
"I saw this movie when it was broadcast on television in February of 1983. I was in the hospital, having just given birth to my first and only child. I'll refrain from telling you the extent to which I was moved. Suffice it to say that the memory of the movie has remained with me to this day, almost 23 years later. I hope I can find a copy of this movie, if such a thing was ever made. This movie should be remembered fondly by anyone who ever saw it. However, I must admit that the fact it remains somewhat obscure is just fine by me. This way, it will always be a small secret to me and those who were also moved by it. I never saw Ms. Margaret perform a better part. Nor have I ever seen her in a more convincing role. I will forever respect her just for accepting such a lovely part.",1
"Unfortunately I have to agree with the critic written by halopes.<br /><br />For a short film the cinematography, costumes, sets, sound, editing and everything else is very, very good. This might seem surprising at first but I was told that the technical crew working on this consisted of professionals, so the quality is to be expected. The problem, as usual, resides in the story itself.<br /><br />Thing is, it's not really a story. To tell a story (or in cinema's case, SHOW a story) you need plot and conflict. You need things that happen to the protagonist: events. These events happen because the protagonist wants something and, for some reason, he can't get it. Tim Watcher has no problems or goals. He's a kind of supernatural entity who observes mankind. That's it. So what we have here is pure exposition. Instead of being shown a story, we're simply learning things about this Tim Watcher individual. Of course, considering the peculiar nature of Tim Watcher and the film's short duration, it's hard to give enough background about him so the movie resorts to Voice-Over Narration. In this case it's used in the worst possible sense which is to give information that otherwise we'd never glean. In fact, if it wasn't for the VO we'd think the character was just a kooky old man going around looking at things. To make it worse the VO also explains what's happening on the screen! The images we're shown are just decoration for the text we're listening to.<br /><br />I could say that this short film would make a good video for a band or something, but because the images don't stand on their own it's impossible to say that. What's left obviously has value as a measure of the crew's technical capabilities (not incredible, but good) but fails to entertain, amuse, thrill or, at the very least, show a story.",0
Did I waste my time. This is very pretentious film. In the beginning you will think there's something going on but by the time some 30 minutes go by you realize nothing is happening. I waited for another 20 minutes and by then i was so frustrated that I started reading reviews on IMDb and realized that the director has wasted precious time of so many people. <br /><br />Unbelievably boring pointless film. Stay away. So many good soundtracks. I will give one point for the police inspector joke because that worked for me. I laughed for a long time but otherwise a very bad film. Stay away.1 on 10.,0
"OK, so the following review is more of a synopsis more so than really containing any spoilers, but better safe than sorry so as to avoid being blacklisted, right? Right! Consider yourselves officially warned, and read on...<br /><br />In this parody/tribute to the greatest time in horror movie history - the 1980's - a group of stupid teens are getting together to host a seance in the house of the notorious Murder McGee, who butchered his entire family a few years back and buried them in the back yard. As I'm sure you can guess, things go from bad to worse faster than you can say ""Where's the beef??"" and in typical 80's horror movie fashion the deaths are bloody, the dialogue is cheesy, and beautiful women are taking off their clothes every chance they get. Good times...<br /><br />No clique or 80's horror movie clichéd characterizations are left unrepresented here. In fact, no stone was left unturned at all  we have the cool hero, his innocent girlfriend, the Goth chick, the tough thug (think John Bender), the hot blonde who keeps losing her shirt, the shy dork in love with the hot blonde that keeps losing her shirt, a couple of gorgeous half-naked lesbians, and two big geeks.<br /><br />As you can plainly see, the cast is pretty big. Usually, larger casts are where things can fall apart quickly, with one or two sour apples buggering up the whole barrel. Not in this case though. Not a single cast member left me disappointed. The acting was very well done. Everyone from the cool hero in his Thriller jacket played by Jovan Meredith to the grooovy Goth chick played by Renee Dorian to Geeks One & Two played by Cory Assink & Jonathan Brett  they all played it straight, brought their A-game, and knocked it out of the park. If you're a fan of Gary & Wyatt in Weird Science, you'll immediately fall in love with the geeks.<br /><br />Director/co-writer Jeff C. Smith is a guy to watch for in the future, trust me on this. If this is what he can do with a low budget, there are nothing but good things ahead for him when he gets more money for future projects. The characters were dead on; the atmosphere was perfect; the laughs were huge; the blood flowed, and squirted, and sprayed beautifully  it was just like watching a horror movie from the 1980's. Call this one ""THE BREAKFAST CLUB meets NIGHT OF THE DEMONS""!!! The tag line says it all, and says it honestly - ""EXCESSIVE VIOLENCE; GRATUITOUS NUDITY; ZERO BUDGET"" - no false advertising here, folks! As fans of this genre, we have to look to the indies and support these hard-working folks who are busting their humps out there bringing us original tales, lest we forever get stuck in a world filled with big studio watered-down PG-13 'horror' or pointless remakes like The Hitcher. No, thank you - no more of that for me.<br /><br />In closing, I honestly have to say that STUPID TEENAGERS MUST DIE! is by far one of the best indie flicks I've gotten the pleasure of watching this year. It's a bloody good time, and holds up on repeat viewings. From the dialogue to the characters to the wardrobe...even the closing love theme over the end credits (which if that doesn't bring back fits of laughter recalling mid-80's power ballads by REO Speedwagon - over-pronounced R's on every word starting with the letter 'R' - then I'll eat my DVD right now)...bottom line is, if you're a fan of 80's horror or horror in general, no more hesitation - this flick deserves to be in your collection!!",1
"I rented this movie, but I wasn't too sure what to expect of it. I was very glad to find that it's about the best Brazilian movie I've ever seen. The story is rather odd and simple, and above all, extremely original. We have Antonio, who is a young man living in Nordestina, a town in the middle of nowhere in the north east of Brazil, and who is deeply in love with Karina. The main conflict between the two is that, while Antonio loves his little town and has no wish to leave it, Karina wants to see the world and resents the place. As a prove of his love for her, he decides to go out himself and bring the world to her. He'll put Nordestina in the map, as he says. And the way he does it is unbelievable. This is a good movie; might be a bit stagy for some people due to its different editing job, but I think that it's also that that improves the story. It's just fun, and it makes you feel good.",1
"You'd have more excitement cutting off your testicles than watching this, clearly a trick to get you to rent ""Descent"" instead of ""The Descent"", which is a much better movie.<br /><br />This is a total rip off of ""The Core"" and much, much worse as regards special effects, I could do better with a box of cornflakes and a roll of tinfoil, I mean come on!....that ""Mole"" thing, bore more resemblance to a vibrating dildo than a subterranean vehicle .<br /><br />Don't watch it - if you do you'll find the room your in has a funny smell for days after and you'll have this nagging feeling in the back of your head that you should go kill yourself or something.",0
"Although this film is set amongst the sophisticated English upper classes it is a simple story of a couple torn asunder. It has a slightly dated air, being an adaptation of ""A Way Through the Wood"", a 1950 novel by Nigel Balchin (once hugely popular and now forgotten). Julian Fellowes, who despite an academy award for the script of ""Gosford Park"", has a somewhat anachronistic persona himself, wrote the script and directed (the latter for the first time). With the DVD version I saw there is a most illuminating audio commentary by Julian. His primary focus was on getting his characters right, and by and large he has succeeded. In this he was helped by two outstanding performances from Tom Wilkinson as James, the stitched up City lawyer, and Emily Watson as his attractive wife Anne. He also kept it short; the running time is only 80 minutes.<br /><br />James and Anne have a town house in Chelsea and a comfortable former vicarage in Buckinghamshire. Anne is some years younger but they are childless. Outwardly they seem happy, but James, one of nature's moralists (unusual for a city lawyer), is a control freak. Just down the road is the aristocratic the Hon. William Buel, who is not one for middle-class morality, and he is more than happy to take advantage. But there's a complication, a road accident, in which an elderly cyclist is knocked over in a country lane by a ruthlessly driven Range Rover just like the Hon. Bill's. Soon James, Anne, Bill and the victim's widow (who happens to be James' and Anne's cleaner) are drawn in to a conspiracy to conceal what really happened. The primary focus is on the corrosive effect of all this on James and Anne's relationship.<br /><br />The third person in this ménage a trios, Bill, is played by Rupert Everett. From the point of view of casting, his languid, superior manner is right for the part, yet somehow he doesn't quite get there. Partly this is because he is supposed to be sick for some of the time and he looks well when he is supposed to be sick, and vice-versa. The part seems underdeveloped. It is interesting that John Neville as Bill's father who has only one significant scene manages to establish his character beautifully in the time he has.<br /><br />The world of five star hotels and superior restaurants is nicely evoked. As Julian Fellowes says in the audio commentary, these people are able to convince themselves that the Edwardian age still exists. At bottom though, the film is about what draws a couple together and what tears them apart. Nigel Balchin was going through a marriage break-up when he wrote the book, and Fellowes has made a good fist of conveying the atmosphere. As he says, his is a fairly free adaptation, but the central theme is the same.",1
"A fine story about following your dreams and actually taking a stab at Doing something about them when the chance strikes. Nothing was easy for Morris either-he had a family, job, job opps elsewheres, a mortgage, etc-it wasn't like he could just drop what he was doing and blithely hop on the greyhound to play AAA ball for 4 months. It took guts. I am glad that they showed his indecision, almost up 'til he got the callup to the majors.<br /><br />I can remember seeing him pitch against the Red Sox(I think...), it was a great story. Though Morris actually looks more like John Kruk or a Mills Watson than Quaid-that's okay. <br /><br />Quaid does a very good job playing the man, the teacher, coach and 'oldest rookie'.... As someone who is in the the same age group, I certainly can ID with his plight. You're not Quite too old to do what you had dreamed of as a kid, but it's getting there. You have to do it sooner than lator.<br /><br />Believably told, nicely edited, paced, acted, good to see the familiar faces of the late Royce Applegate, Brian Cox and Rachel Griffiths here.<br /><br />Good job all around, glad to see it hit.<br /><br />*** outta ****...who woulda thought that the Tampa Devil Rays woulda been the subject of such a good movie early on?",1
